products_May-18_12-19-24PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Variant_ID,product_type,link,title,description,SKU,Option Name 1,Option Value 1,avalibility ,Brand,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,image_link,additional_image_link
60a2900182943a23ab057d25,582e5a15-0986-46fd-ac81-989f4d436e3e,Hand embroidery Shop,https://withashleycrafts.com/shop-fabric-online-fabric-store-inspiration-quilt-kits/p/dmc-gold-embroidery-hand-needles-22k-gold-plated-steel-hand-quilting-embroidery-cross-stitching-needle-crafting-of-all-kinds,"DMC Gold Embroidery Hand Needles - 22K Gold plated Steel - Hand quilting, embroidery, cross stitching, needle-crafting of all kinds!","DMC-Gold Embroidery Hand Needles come in sizes 1, 3, and 5. These superior quality needles are resistant to humidity, body oils and rust. Perfect for cross-stitch, needlepoint, and counted thread- work. Four needles per package. Made in France.",SQ7902029,,,in stock,With Ashley Fabric & Crafts ,,,,,,,,,3.29,0,1,/hand-embroidery-shop-dmc-floss-thread-needles-pattern/hand-needles,"dmc, hand sewing needle, embroidery shop, hand embroidery, needle",0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266576005-A0AANXXE810JMDQ0X0DV/ke17ZwdGBToddI8pDm48kOeJ2153rBDs90A3mo0IdcZ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1URgjVbaYUaYaNv_e6s74S2ivVgFGDNKF553F2hua1YRAN_s9_I7AJLAVBjIvk6XmdA/il_1588xN.2639031350_rm3t.jpg,
60a290a48a5fb2664bca2ffe,bcadf6d4-7a06-4a85-9c82-fc8b664d346a,Hand embroidery Shop,https://withashleycrafts.com/shop-fabric-online-fabric-store-inspiration-quilt-kits/p/dmc-6-strand-embroidery-cotton-87yd-thread-skein-embroidery-thread-hand-quilting-punch-needle,"DMC 6-Strand Embroidery Cotton 8.7yd - Thread Skein Embroidery Thread, Hand Quilting, Punch Needle","DMC-Six-Strand Embroidery Cotton. A brilliant, six-strand floss made from double mercerized, long staple 100% cotton fibers. This thread made of highly mercerized cotton is lustrous and made of 100% cotton. Perfect for Cross Stitching, Needlepoint and Embroidery on a wide variety of fabrics when a rich raised pattern is desired and for the finest of crocheted lace.",DMC 01,Color,01 - White Tin,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,/hand-embroidery-shop-dmc-floss-thread-needles-pattern/dmc-embroidery-floss,"dmc, hand sewing needle, embroidery shop, hand embroidery, needle",0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704333-WFJ4ITOUYAIG3YZQ54B0/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3009925198_9s2l.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704343-O8MUYQZHAD1T8GHR2EUD/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3010169224_s8w6.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704273-XX4IY0J71RTRZK1F374T/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3010169226_bsyw.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704200-MHEIWCECQIBGFE86MP9O/ke17ZwdGBToddI8pDm48kO3pHbRXFRGodr8JQh_7bq9Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PITcWO9mKU3eqc2W4uxC_tmlyNmSsWfTSmtgr0c1XnE7kKMshLAGzx4R3EDFOm1kBS/il_794xN.3010169348_6hny.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704372-6QNE8X589OR9DZ5CLJLT/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3010169350_bp3t.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704275-QLPSSX7OG6Z92QHBGIZP/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3057878985_puk4.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704236-8B17KUTV2G829AZMF5MK/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3057878987_c4bg.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704432-NTCDNIN7JZCIT1JMKN9L/ke17ZwdGBToddI8pDm48kDe6IYIk-hW97MHHqp8qvB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8PaoYXhp6HxIwZIk7-Mi3Tsic-L2IOPH3Dwrhl-Ne3Z2f-GpG2LwuouW5woP6eK0ggpg3gPXZs52Rt-MScwTMkAbq_pQtFqHzdGAdcBYPmVt/il_794xN.3057878989_j3a4.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266704754-HATPE4NJEHDCOEOELO16/ke17ZwdGBToddI8pDm48kNI1fk7QzWItCEYEYXVDg5V7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UcWQ-s95RhE8AVrNl6faCaxlY2MVpsNFghy7QfgMAw_WcTyyucow4w2PP5cyTif0EQ/il_1588xN.3010170080_2trg.jpg,
,32043736-5c31-4460-afaa-a6e04fd045eb,,,,,DMC 20,Color,20 - Shrimp,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,d54ddd02-e291-4100-a33a-66a41ef6f57a,,,,,DMC 22,Color,22 - Alizarin,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,a4604326-a657-481d-b4f9-161144eaae21,,,,,DMC 23,Color,23 - Apple Blossom,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,c3bc9c5d-9f94-4bd6-a029-3535c7f7d8ed,,,,,DMC 151,Color,151 - Very Light Dusty Rose-Lighter than 3354,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,83b97825-3845-4527-ab78-9893fe4a775a,,,,,DMC 152,Color,152 - Medium Light Shell Pink,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,8db65829-95c4-4b75-9cb2-eb5dee445236,,,,,DMC 310,Color,310 - Black,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,523784df-d5c5-44bc-92c0-5d92c5c9b2fb,,,,,DMC 316,Color,316 - Medium Antique Mauve,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,30ae9b37-950c-4533-becd-4416b5cf07f2,,,,,DMC 352,Color,352 - Light Coral,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,ce67a02e-7922-42f1-acd1-f4dcec8f56a4,,,,,DMC 353,Color,353 - Peach,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,64ecf752-a491-4b67-89dd-e56e1266147f,,,,,DMC 355,Color,355 - Dark Terra Cotta,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,2fd6aeb6-0ac0-43eb-a701-d2bff5493d10,,,,,DMC  453,Color,453 - Light Shell Grey,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,51bc992d-10a7-4609-86ef-43c3e8809264,,,,,DMC  746,Color,746 - Off White,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
,ee491675-8241-43fd-9054-503c23b94992,,,,,DMC  754,Color,754 - Light Peach,in stock,With Ashley Fabric & Crafts ,,,,,,,,,0.99,0,2,,,0,0,0,0,,,
