pinterest_product_sample_csv_feed,,,,,,,,,,,,,,,,,,,,
id,item_group_id,title,description,link,image_link,price,availability,condition,brand,,,,,,,,,,,
PIN-101,PIN-1,DMC Gold Embroidery Hand Needles  ,Hand Sewing needles - gold plated,https://withashleycrafts.com/shop-fabric-online-fabric-store-inspiration-quilt-kits/p/dmc-gold-embroidery-hand-needles-22k-gold-plated-steel-hand-quilting-embroidery-cross-stitching-needle-crafting-of-all-kinds,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621266576005-A0AANXXE810JMDQ0X0DV/ke17ZwdGBToddI8pDm48kOeJ2153rBDs90A3mo0IdcZ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1URgjVbaYUaYaNv_e6s74S2ivVgFGDNKF553F2hua1YRAN_s9_I7AJLAVBjIvk6XmdA/il_1588xN.2639031350_rm3t.jpg,3.29 USD,in stock,new,With Ashley Crafts ,,,,,,,,,,,
PIN-201,PIN-2,Rifle Paper Co Blueberries Fabric Yardage,Fabric will be cut in one continuous piece unless requested otherwise,https://withashleycrafts.com/shop-fabric-online-fabric-store-inspiration-quilt-kits/p/green-blueberries-meadow-collection-hlkth,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621282680755-ICDG02D0VGZ7LA73TOBD/ke17ZwdGBToddI8pDm48kJQf07olsxPTv2vPsKnpDNR7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1Uau3PvG0o1WWKZXdpdE-PKO9S_XMzk1VA2eFOd1zdQmjagRfogV3tzDcJMnPp3p-dw/il_1588xN.2827348529_dsm8.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621282680172-NRW3XJ54NP8AI6O1N7D0/ke17ZwdGBToddI8pDm48kNVPBLGFVgSuDsrQtDcwzLpZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIvlaN6sapEMeRJKcVGpMc07s0E_30E6_9qix5VjHa-a8KMshLAGzx4R3EDFOm1kBS/il_794xN.2827348123_nz0o.jpg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1621282680173-F69EYMHPF9Y14T0KG26W/ke17ZwdGBToddI8pDm48kEoJmA0Abk1RrrM77uDVNFhZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIecCtomI4OQXCfULyDTUGqI_q-TQiniCLvIy8yIJMAmQKMshLAGzx4R3EDFOm1kBS/il_794xN.2463677409_dkbr.jpg,3.99 USD,in stock,new,With Ashley Crafts ,,,,,,,,,,,
